,resistance 1,resistance 2,resistance 3,resistance 4,class
0,717.0,459.0,561.0,610.0,zero
1,722.0,462.0,565.0,614.0,zero
2,725.0,464.0,568.0,616.0,zero
3,727.0,464.0,570.0,618.0,zero
4,728.0,465.0,571.0,619.0,zero
5,729.0,466.0,571.0,620.0,zero
6,730.0,466.0,572.0,620.0,zero
7,730.0,467.0,572.0,620.0,zero
8,730.0,467.0,572.0,621.0,zero
9,730.0,467.0,573.0,621.0,zero
10,730.0,467.0,574.0,621.0,zero
11,730.0,467.0,574.0,622.0,zero
12,730.0,468.0,574.0,622.0,zero
13,730.0,468.0,575.0,622.0,zero
14,731.0,468.0,575.0,622.0,zero
15,731.0,468.0,575.0,622.0,zero
16,731.0,468.0,575.0,622.0,zero
17,732.0,468.0,575.0,622.0,zero
18,733.0,468.0,575.0,623.0,zero
19,733.0,468.0,575.0,623.0,zero
20,733.0,469.0,575.0,623.0,zero
21,734.0,469.0,575.0,623.0,zero
22,734.0,469.0,575.0,623.0,zero
23,734.0,470.0,575.0,624.0,zero
24,734.0,470.0,576.0,624.0,zero
25,735.0,470.0,576.0,624.0,zero
26,735.0,470.0,576.0,624.0,zero
27,735.0,470.0,576.0,625.0,zero
28,735.0,470.0,576.0,625.0,zero
29,735.0,470.0,577.0,625.0,zero
30,735.0,470.0,577.0,625.0,zero
31,735.0,470.0,577.0,625.0,zero
32,735.0,470.0,577.0,625.0,zero
33,727.0,462.0,565.0,638.0,one
34,733.0,465.0,564.0,682.0,one
35,740.0,467.0,564.0,745.0,one
36,746.0,470.0,564.0,792.0,one
37,750.0,472.0,562.0,824.0,one
38,755.0,474.0,554.0,840.0,one
39,761.0,476.0,542.0,836.0,one
40,767.0,477.0,532.0,826.0,one
41,774.0,478.0,523.0,817.0,one
42,780.0,479.0,515.0,810.0,one
43,786.0,478.0,510.0,804.0,one
44,790.0,477.0,507.0,801.0,one
45,794.0,477.0,505.0,800.0,one
46,796.0,475.0,503.0,799.0,one
47,797.0,474.0,501.0,798.0,one
48,798.0,474.0,501.0,798.0,one
49,798.0,474.0,505.0,800.0,one
50,797.0,475.0,510.0,803.0,one
51,797.0,476.0,512.0,802.0,one
52,798.0,476.0,512.0,797.0,one
53,798.0,477.0,509.0,793.0,one
54,799.0,477.0,509.0,791.0,one
55,799.0,478.0,511.0,794.0,one
